first_name,last_name,grade,gpa,gender,date_of_birth
Ujwzl,SpXdnmeIdE,9,2.35,F,23/3/2015
EYRSOlcjp,sOBqIYEsZr,7,2.78,M,22/2/1997
hYOFXCAhOO,VUVEU,11,1.68,M,19/6/2004
Owy,sXhkP,4,0.32,F,9/11/2011
sVXViDnB,qq,2,0.37,M,15/2/2012
ES,lgvkq,2,0.5,F,13/3/2013
SfIy,jfsuiEF,7,0.27,F,7/1/1999
NcBh,zS,3,0.68,F,22/5/2010
XfsrkPFCui,uyvtUeJ,9,2.64,M,26/6/2007
mb,YIQwkWa,11,0.78,F,1/5/2011
cQQFQx,QakZPtqYEt,7,0.8,F,10/5/2006
WndMCAhimr,NmLUX,2,2.7,M,17/6/1999
ATjCIS,HyEtLc,3,0.31,F,20/6/2012
rNlOvU,MYbMU,9,0.29,M,19/5/1995
zhMrEnJX,sZNQZfMkI,3,3.84,F,22/8/1999
XZ,agAbYYkmqB,8,1.86,M,14/1/2000
THpPcpG,AZhRZ,4,1.49,F,17/5/1995
rcA,bHcLqZ,9,2.24,M,7/12/2009
WcnuTRaO,gOKOigQ,4,0.56,M,7/3/2001
rbGf,ru,11,2.67,M,8/12/2004
wvRqz,qEKT,9,2.24,M,12/1/2008
oTiBqr,iKkEOQ,2,1.83,F,7/11/2003
IaJHQUVZNJ,SsrVf,6,1.13,M,3/11/2000
zbMzYKYGgd,ZXfpmnrm,12,3.36,M,20/3/2015
abTHmZD,OVzLYvfZ,4,0.96,M,19/10/1999
RXSZS,zKdUSiA,3,2.04,M,8/12/2014
HngHSih,ew,12,1.11,M,7/7/1996
pJWJTT,xGNOMv,6,0.9,M,18/5/2002
aDkhpLoDYe,QnKttJ,9,2.19,M,15/7/2009
gQEVJQ,CAvXDmY,1,0.62,M,27/6/2014
RFzKapC,ZUItFBtJui,10,2.48,M,28/10/2009
YRwwYcvT,shPd,11,1.36,M,3/3/1995
ywR,ejlhUA,1,1.95,M,2/11/2010
wJfDzrFJ,aB,2,1.78,F,13/12/1999
ziWwDTKXLr,pYjUX,4,0.23,F,8/6/2001
Ti,SIZGe,5,2.53,M,1/3/1996
agynDGn,JplqPde,1,1.39,F,11/1/2007
tkveH,fmSTTjCfv,1,1.56,F,5/1/2008
RRqtVlfu,rjPa,6,0.78,F,22/5/2004
SBIIY,BXQCnFGRYv,9,3.56,F,10/7/2014
SNEpL,ekbxNHAuZA,2,1.73,F,11/4/2004
Qf,arhVnh,3,2.92,M,18/9/2009
mJdEnShCQh,aEGMLBc,9,1.79,F,12/8/2012
fk,sfNlPDBLao,12,3.43,M,26/7/2008
pKFDNK,OkKEwVJBMw,6,1.66,M,6/8/2008
axDLAfi,KnpWLb,2,1.55,F,10/5/2009
biBf,UQZYqJ,1,0.23,M,21/11/2015
iLRpznCj,PswLGLKUb,10,0.74,M,23/12/2015
KH,ukOvppO,5,3.68,F,23/5/1996
KGPsm,MJQ,2,0.07,M,10/4/2007
JEQ,CnWhHNRuqX,10,2.91,F,16/11/2012
ggfq,zMPU,3,3.38,M,20/11/2003
LOyoVNsP,xl,10,3.17,F,18/8/1995
Ypa,IcFQW,10,0.07,F,11/6/1996
eGuFV,WUSROgtG,4,1.99,M,10/2/2000
SP,fNdcUOQ,11,1.67,M,4/5/2002
AGOmNiK,nkpUnhm,6,2.08,F,10/4/2013
OAuJKqMW,KOBrVuM,5,3.37,F,15/9/1996
sjZZ,mWsr,10,3.12,M,20/11/2003
DaZ,lkX,5,0.3,M,17/2/1999
Wjqyje,nR,9,2.52,M,18/10/1997
asx,VJLYrRsGY,5,1.86,M,12/7/2012
qLAMdOK,jpj,4,3.21,F,20/11/2010
UtHSs,dAbhjwI,3,3.09,M,18/10/2015
mxLy,ydqrSfyt,11,0.15,F,14/2/1996
wWwmMqJmFg,aQLGyMLaCL,11,0.11,F,20/6/2001
UKgPT,LB,2,0.44,M,28/9/2006
SZYVdvhNtt,LDYVUWNhnH,7,2.4,M,5/3/2012
GBbGKzU,oYkGdckb,6,3.94,M,3/9/2002
NCJPu,cGv,11,1.21,M,1/6/1996
fdGf,MJI,5,3.43,M,11/10/2008
zjyxzItHp,FjFGtUbZtH,1,0.46,F,8/1/2010
WW,bTaiCp,12,3.79,M,25/3/1995
jT,Nn,9,1.82,F,6/9/2002
ETPQ,fTFZPFpSLO,1,3.06,F,9/11/2003
aOgr,hIk,2,3.45,F,1/8/2004
yFc,zEONiZIBOs,2,0.71,M,5/3/2012
pxJwacir,XuGMlxPh,4,3.88,F,22/8/2008
AvSXVa,xUKKrEXMFc,10,1.54,F,16/6/2007
HsvZsegaCL,UXNqUnTT,9,0.27,M,11/3/2014
kyQYDYF,ZXEA,2,2.91,M,2/5/1996
uI,NoCrfiOQMQ,11,0.63,M,26/2/2005
ICW,xV,6,2.65,M,19/12/2010
oEAeNw,qxrgKNdJT,3,1.62,M,8/1/2001
MlTBvxc,UuCKVpt,9,2.51,F,8/4/2004
qB,SxC,1,0.28,M,10/1/2003
xS,JiZMSGF,1,0.96,F,5/12/2013
PElofN,ZVznV,5,1.8,M,14/8/2011
yVVun,rL,4,1.41,M,6/2/2008
ANuP,MtmzsozpdZ,7,2.37,M,1/8/2013
eZFlv,Dgpi,6,1.52,F,18/8/1999
Ny,tIze,7,0.65,F,10/4/1998
kItmBsU,bGufbLQ,4,1.27,M,10/8/2015
lTkqQBLfdD,Bia,10,0,M,14/11/2008
BrcE,USJRQiGgWH,6,0.1,M,6/9/1997
ZAjgZxTVkm,mjaqNzSC,12,1.46,M,2/2/2004
JMgc,SUac,5,3.73,M,3/10/2008
LsJpLIZdbK,EqccydN,5,3.5,F,24/12/2004
RLSXBdB,txQDvSPT,7,2.77,F,25/4/2005
SSVG,vzuhiTypg,4,0.42,M,14/11/2000
